Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.66     0.00   520596     0.00     0.00  std::move_iterator<std::vector<int, std::allocator<int> >*>::base() const
  0.00      0.66     0.00   520596     0.00     0.00  std::move_iterator<std::vector<int, std::allocator<int> >*> std::__make_move_if_noexcept_iterator<std::vector<int, std::allocator<int> >*, std::move_iterator<std::vector<int, std::allocator<int> >*> >(std::vector<int, std::allocator<int> >*)
  0.00      0.66     0.00   519872     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      0.66     0.00   491758     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin()
  0.00      0.66     0.00   446625     0.00     0.00  std::allocator<Node>::~allocator()
  0.00      0.66     0.00   439389     0.00     0.00  __gnu_cxx::new_allocator<Node>::new_allocator(__gnu_cxx::new_allocator<Node> const&)
  0.00      0.66     0.00   439389     0.00     0.00  std::allocator<Node>::allocator(std::allocator<Node> const&)
  0.00      0.66     0.00   427389     0.00     0.00  State::getWinScore()
  0.00      0.66     0.00   416807     0.00     0.00  Node* std::__addressof<Node>(Node&)
  0.00      0.66     0.00   414332     0.00     0.00  __gnu_cxx::__normal_iterator<Node const*, std::vector<Node, std::allocator<Node> > >::__normal_iterator(Node const* const&)
  0.00      0.66     0.00   405715     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.66     0.00   405715     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~_Vector_base()
  0.00      0.66     0.00   405715     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector()
  0.00      0.66     0.00   404159     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.00      0.66     0.00   404159     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long)
  0.00      0.66     0.00   404159     0.00     0.00  std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::allocate(std::allocator<std::vector<int, std::allocator<int> > >&, unsigned long)
  0.00      0.66     0.00   390406     0.00     0.00  bool __gnu_cxx::operator!=<Node const*, std::vector<Node, std::allocator<Node> > >(__gnu_cxx::__normal_iterator<Node const*, std::vector<Node, std::allocator<Node> > > const&, __gnu_cxx::__normal_iterator<Node const*, std::vector<Node, std::allocator<Node> > > const&)
  0.00      0.66     0.00   389452     0.00     0.00  Node::setUCB(double)
  0.00      0.66     0.00   382216     0.00     0.00  Node::calcUCB(double, int, int)
  0.00      0.66     0.00   376807     0.00     0.00  Board::~Board()
  0.00      0.66     0.00   375321     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end() const
  0.00      0.66     0.00   375321     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin() const
  0.00      0.66     0.00   351750     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.66     0.00   351750     0.00     0.00  std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::deallocate(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.66     0.00   300896     0.00     0.00  State::~State()
  0.00      0.66     0.00   300588     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator()
  0.00      0.66     0.00   295889     0.00     0.00  State::getPlayer()
  0.00      0.66     0.00   278465     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Node*>(Node*, Node*)
  0.00      0.66     0.00   278465     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_M_deallocate(Node*, unsigned long)
  0.00      0.66     0.00   278465     0.00     0.00  void std::_Destroy<Node*, Node>(Node*, Node*, std::allocator<Node>&)
  0.00      0.66     0.00   274010     0.00     0.00  std::vector<int, std::allocator<int> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*)
